vacID,date,province,partial,fully,booster
1,2021-01-02,BC,17510,0,0
2,2021-01-02,AB,14244,0,0
3,2021-01-02,SK,3722,0,0
4,2021-01-02,MB,3540,2,0
5,2021-01-02,ON,33191,0,0
6,2021-01-02,QC,28691,1,0
7,2021-01-02,NL,1785,0,0
8,2021-01-02,NB,2905,0,0
9,2021-01-02,NS,2596,0,0
10,2021-01-02,PE,1932,0,0
11,2021-01-02,YT,0,0,0
12,2021-01-02,NT,2,0,0
13,2021-01-02,NU,0,0,0
14,2021-01-09,BC,46259,0,0
15,2021-01-09,AB,42333,0,0
16,2021-01-09,SK,6964,0,0
17,2021-01-09,MB,8919,899,0
18,2021-01-09,ON,103263,2940,0
19,2021-01-09,QC,78886,102,0
20,2021-01-09,NL,1785,0,0
21,2021-01-09,NB,5019,0,0
22,2021-01-09,NS,2720,0,0
23,2021-01-09,PE,3600,0,0
24,2021-01-09,YT,310,0,0
25,2021-01-09,NT,162,0,0
26,2021-01-09,NU,29,0,0
27,2021-01-16,BC,75914,0,0
28,2021-01-16,AB,81561,0,0
29,2021-01-16,SK,16927,1752,0
30,2021-01-16,MB,17642,2201,0
31,2021-01-16,ON,189090,9667,0
32,2021-01-16,QC,144281,289,0
33,2021-01-16,NL,5291,1495,0
34,2021-01-16,NB,7732,1862,0
35,2021-01-16,NS,7600,2200,0
36,2021-01-16,PE,5102,1154,0
37,2021-01-16,YT,1184,0,0
38,2021-01-16,NT,512,0,0
39,2021-01-16,NU,983,0,0
40,2021-01-23,BC,110566,2202,0
41,2021-01-23,AB,98807,7272,0
42,2021-01-23,SK,32385,3416,0
43,2021-01-23,MB,30764,3498,0
44,2021-01-23,ON,276146,28954,0
45,2021-01-23,QC,220997,685,0
46,2021-01-23,NL,8549,1495,0
47,2021-01-23,NB,10436,2567,0
48,2021-01-23,NS,10575,2705,0
49,2021-01-23,PE,6525,1799,0
50,2021-01-23,YT,3730,0,0
51,2021-01-23,NT,1893,0,0
52,2021-01-23,NU,3822,0,0
53,2021-01-30,BC,129241,4262,0
54,2021-01-30,AB,105752,15648,0
55,2021-01-30,SK,35239,4637,0
56,2021-01-30,MB,41811,7834,0
57,2021-01-30,ON,336828,67787,0
58,2021-01-30,QC,251615,1515,0
59,2021-01-30,NL,10080,1737,0
60,2021-01-30,NB,14257,2839,0
61,2021-01-30,NS,14589,2714,0
62,2021-01-30,PE,7510,2232,0
63,2021-01-30,YT,6496,0,0
64,2021-01-30,NT,9471,0,0
65,2021-01-30,NU,5316,0,0
66,2021-02-06,BC,149564,10366,0
67,2021-02-06,AB,116716,25540,0
68,2021-02-06,SK,41254,8157,0
69,2021-02-06,MB,47986,13003,0
70,2021-02-06,ON,372666,96573,0
71,2021-02-06,QC,269738,3073,0
72,2021-02-06,NL,12596,3324,0
73,2021-02-06,NB,17277,4460,0
74,2021-02-06,NS,17295,4681,0
75,2021-02-06,PE,8337,3037,0
76,2021-02-06,YT,10519,0,0
77,2021-02-06,NT,12366,125,0
78,2021-02-06,NU,5649,0,0
79,2021-02-13,BC,162982,17562,0
80,2021-02-13,AB,144114,49166,0
81,2021-02-13,SK,48566,12410,0
82,2021-02-13,MB,56282,20152,0
83,2021-02-13,ON,456947,164307,0
84,2021-02-13,QC,312839,6244,3
85,2021-02-13,NL,14687,4865,0
86,2021-02-13,NB,18643,5347,0
87,2021-02-13,NS,22343,7498,0
88,2021-02-13,PE,9139,3787,0
89,2021-02-13,YT,11514,909,0
90,2021-02-13,NT,13132,299,0
91,2021-02-13,NU,8339,2134,0
92,2021-02-20,BC,192942,36923,0
93,2021-02-20,AB,165527,63882,0
94,2021-02-20,SK,57824,17745,0
95,2021-02-20,MB,62812,25874,0
96,2021-02-20,ON,540129,229151,0
97,2021-02-20,QC,356352,7892,8
98,2021-02-20,NL,16458,6112,0
99,2021-02-20,NB,21182,7505,0
100,2021-02-20,NS,25032,9782,0
101,2021-02-20,PE,10691,4979,0
102,2021-02-20,YT,11850,1223,0
103,2021-02-20,NT,14157,579,0
104,2021-02-20,NU,9049,2134,0
105,2021-02-27,BC,252373,73808,0
106,2021-02-27,AB,218696,85442,0
107,2021-02-27,SK,75501,24591,0
108,2021-02-27,MB,77119,29980,0
109,2021-02-27,ON,668104,260972,0
110,2021-02-27,QC,448160,9454,11
111,2021-02-27,NL,20285,7466,0
112,2021-02-27,NB,26317,11036,0
113,2021-02-27,NS,32019,12105,0
114,2021-02-27,PE,12176,5165,0
115,2021-02-27,YT,15174,4309,0
116,2021-02-27,NT,16454,1934,0
117,2021-02-27,NU,11383,4107,0
118,2021-03-06,BC,311208,86865,0
119,2021-03-06,AB,282674,90824,0
120,2021-03-06,SK,90456,28006,0
121,2021-03-06,MB,93798,33551,0
122,2021-03-06,ON,860412,270625,0
123,2021-03-06,QC,567238,11072,12
124,2021-03-06,NL,24757,8427,0
125,2021-03-06,NB,33741,12142,0
126,2021-03-06,NS,38676,14395,0
127,2021-03-06,PE,13281,5273,0
128,2021-03-06,YT,21097,7826,0
129,2021-03-06,NT,19775,4558,0
130,2021-03-06,NU,13911,5144,0
131,2021-03-13,BC,380743,87024,0
132,2021-03-13,AB,346135,91520,0
133,2021-03-13,SK,100195,29029,0
134,2021-03-13,MB,108919,35198,0
135,2021-03-13,ON,1116496,284686,0
136,2021-03-13,QC,724661,14910,16
137,2021-03-13,NL,33621,9170,0
138,2021-03-13,NB,38483,12152,0
139,2021-03-13,NS,46891,15655,0
140,2021-03-13,PE,15648,5603,0
141,2021-03-13,YT,27738,9805,0
142,2021-03-13,NT,28208,11151,0
143,2021-03-13,NU,15889,5750,0
144,2021-03-20,BC,490022,87139,0
145,2021-03-20,AB,452690,92935,0
146,2021-03-20,SK,133828,31162,0
147,2021-03-20,MB,139050,44789,1
148,2021-03-20,ON,1480882,297134,0
149,2021-03-20,QC,965087,16723,18
150,2021-03-20,NL,46053,9411,0
151,2021-03-20,NB,57722,12200,0
152,2021-03-20,NS,58036,20050,0
153,2021-03-20,PE,16779,5614,0
154,2021-03-20,YT,32350,10598,0
155,2021-03-20,NT,32074,12389,0
156,2021-03-20,NU,17997,6413,0
157,2021-03-27,BC,637856,87233,0
158,2021-03-27,AB,577223,95452,0
159,2021-03-27,SK,167509,36494,0
160,2021-03-27,MB,179856,56829,2
161,2021-03-27,ON,1916332,308301,0
162,2021-03-27,QC,1233657,18448,20
163,2021-03-27,NL,55231,9527,0
